"NUM"	"RegionId"	"DistrictId"	"CommuneId"	"Departemen"	"Commune"	"CodeCommun"	"SanteID"	"HealthC_ID"	"NomInstitu"	"Fac_NameEN"	"Fac_NameFr"	"FacNameKr"	"Oorganisat"	"Categorie"	"Type"	"PCode"	"Damage"	"Address"	"Telephone"	"FAX"	"email"	"Constructn"	"Comment"	"X_DDS"	"Y_DDS"	"Accuracy"	"Source"
27	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	18	1310022	"CENTRE DE SANTE DE TURBE"					"CSL"	"PRI"	13107								-72.166626000000	18.536011000000		"2005 MSPP database with geocodes"
28	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	20	1310023	"DISPENSAIRE FOYER SAINT CAMILLE"				"ORDRE RELIGIEUX DES SERVITEURS DES MALADES -CAMILLIENS"	"DISP"		95009								-72.287802000000	18.615132000000		"2005 MSPP database with geocodes"
29	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	21	1310024	"CENTRE DE SANTE BETHEL CAMPECH DUMAY"				"FONDATION BETHEL D'HAITI"	"CSL"	"PRI"	13110								-72.191400000000	18.519695000000		"2005 MSPP database with geocodes"
30	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	22	1310025	"CENTRE DE SANTE LIFE LINE"					"CSL"	"PRI"	13111								-72.221962000000	18.582405000000		"2005 MSPP database with geocodes"
31	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	0	1319002	"CENTRE MEDICO SOCIAL"				"FONDATION BON SAMARITAIN EN ACTION"	"C/S"		95010								-72.278882000000	18.620981000000		"2005 MSPP database with geocodes"
32	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	24	1310027	"CENTRE DE SANTE PETITS AMIS DE JESUS"					"CSL"	"PRI"	13113								-72.246753000000	18.615249000000		"2005 MSPP database with geocodes"
33	1	9	32	"OUEST"	"THOMAZEAU"	132	1	1320028	"CENTRE DE SANTE DE THOMAZEAU"				"MSPP"	"C/S"		95011								-72.093776000000	18.653279000000		"2005 MSPP database with geocodes"
34	1	9	32	"OUEST"	"THOMAZEAU"	132	6	1320029	"CENTRE DE SANTE DE L'ETANG"					"C/S"		95012								-72.051637000000	18.642754000000		"2005 MSPP database with geocodes"
35	1	9	33	"OUEST"	"GANTHIER"	133	4	1330030	"L'EAU DE VIE DE F.P"				"IFM"	"CAL"	"PRI"	13301								-71.952369000000	18.491795000000		"2005 MSPP database with geocodes"
36	1	9	33	"OUEST"	"GANTHIER"	133	8	1330031	"CENTRE DE SANTE DE GANTHIER"				"PAROL ET AKSYON / MSPP"	"CSL"	"PRI"	13302								-72.062172000000	18.532202000000		"2005 MSPP database with geocodes"
37	1	9	33	"OUEST"	"GANTHIER"	133	11	1330032	"DISPENSAIRE DE SAVANNE CABRI"				"MEBA"	"DISP"	"PRI"	13303								-72.078196000000	18.586144000000		"2005 MSPP database with geocodes"
38	1	9	33	"OUEST"	"GANTHIER"	133	14	1330033	"DP de FOPECG"					"DISP"	"PRI"	13304								-72.137783000000	18.539467000000		"2005 MSPP database with geocodes"
39	1	9	34	"OUEST"	"CORNILLON / GRAND-BOIS"	134	3	1340034	"CENTRE DE SANTE DE CORNILLON"					"C/S"		95013								-71.951580000000	18.675526000000		"2005 MSPP database with geocodes"
40	1	9	34	"OUEST"	"CORNILLON / GRAND-BOIS"	134	9	1340035	"CENTRE DE SANTE SAINT PIERRE"					"C/S"		95014								-71.952891000000	18.674780000000		"2005 MSPP database with geocodes"
41	1	9	35	"OUEST"	"FONDS-VERRETTES"	135	2	1350036	"CENTRE DE SANTE DE FONDS-VERETTES"				"MSPP"	"CAL"	"PUB"	13501								-71.854171000000	18.393975000000		"2005 MSPP database with geocodes"
42	1	9	35	"OUEST"	"FONDS-VERRETTES"	135	10	1350037	"DP DE FORET DES PINS"					"DISP"	"PUB"	13502								-71.775228000000	18.322604000000		"2005 MSPP database with geocodes"
43	1	9	35	"OUEST"	"FONDS-VERRETTES"	135	13	1350038	"NOTRE DAME DES PINS D'ORIANIE"					"DISP"	"PRI"	13503								-71.832342000000	18.306130000000		"2005 MSPP database with geocodes"
44	9	1	34	"NORD OUEST"	"JEAN RABEL"	934	0	9349003	"DP DE COTE DE FER"					"DISP"		95015								-73.266488000000	19.832374000000		"2005 MSPP database with geocodes"
45	4	1	11	"NORD EST"	"FORT LIBERTE"	411	2	4110040	"DISPENSAIRE DE DERAC"				"MSPP / CDS"	"DISP"		95016								-71.813259000000	19.661356000000		"2005 MSPP database with geocodes"
46	4	1	11	"NORD EST"	"FORT LIBERTE"	411	4	4110041	"DISPENSAIRE D'ACUL SAMEDI"				"MSPP / CDS"	"DISP"		95017								-71.881861000000	19.520589000000		"2005 MSPP database with geocodes"
47	4	1	12	"NORD EST"	"FERRIER"	412	3	4120042	"DISPENSAIRE DE FERRIER"				"MSPP"	"DISP"		95018								-71.779926000000	19.616237000000		"2005 MSPP database with geocodes"
48	4	1	13	"NORD EST"	"PERCHES"	413	3	4130043	"DISPENSAIRE DES PERCHES"				"MSPP"	"DISP"		95019								-71.921786000000	19.521274000000		"2005 MSPP database with geocodes"
49	4	2	21	"NORD EST"	"OUANAMINTHE"	421	2	4210044	"CENTRE MEDICOSOCIAL DE OUANAMINTHE"				"MSPP/CDS"	"C/S"		95020								-71.719786000000	19.549002000000		"2005 MSPP database with geocodes"
50	4	3	32	"NORD EST"	"SAINTE SUZANE"	432	1	4320050	"DISPENSAIRE DE SAINTE - SUZANNE"				"MSPP"	"DISP"		95021								-72.088967000000	19.583305000000		"2005 MSPP database with geocodes"
51	4	3	32	"NORD EST"	"SAINTE SUZANE"	432	6	4320051	"DISPENSAIRE DE DUPITY"				"MSPP / EGLISE CATHOLIQUE"	"DISP"		95022								-72.049989000000	19.483320000000		"2005 MSPP database with geocodes"
52	4	3	33	"NORD EST"	"TERRIER ROUGE"	433	1	4330052	"CENTRE DE SANTE SAINT PIERRE DE TERRIER - ROUGE"				"MSPP / EGLISE CATHOLIQUE"	"C/S"		95023								-71.953599000000	19.636422000000		"2005 MSPP database with geocodes"
53	4	3	33	"NORD EST"	"TERRIER ROUGE"	433	4	4330053	"CENTRE DE SANTE NOTRE DAME DE LOURDES DE GRAND - BASSIN"				"MSPP / EGLISE CATHOLIQUE"	"C/S"		95024								-71.936838000000	19.572695000000		"2005 MSPP database with geocodes"
54	4	3	33	"NORD EST"	"TERRIER ROUGE"	433	6	4330054	"DISPENSAIRE DE PHAETON"				"MSPP"	"DISP"		95025								-71.895386000000	19.676543000000		"2005 MSPP database with geocodes"
55	4	3	33	"NORD EST"	"TERRIER ROUGE"	433	7	4330055	"DISPENSAIRE DE DANDA"				"EGLISE BAPTISTE"	"DISP"		95026								-71.885756000000	19.559201000000		"2005 MSPP database with geocodes"
56	4	3	34	"NORD EST"	"CARACOL"	434	3	4340056	"JACQUEZIL"				"MSPP / EGLISE CATHOLIQUE"	"Other"		95027								-71.992103000000	19.684816000000		"2005 MSPP database with geocodes"
57	4	3	34	"NORD EST"	"CARACOL"	434	4	4340057	"DISPENSAIRE DE CARACOL"				"MSPP"	"DISP"		95028								-72.017907000000	19.692288000000		"2005 MSPP database with geocodes"
58	4	4	41	"NORD EST"	"VALLIERE"	441	2	4410058	"DISPENSAIRE DE VALLIERES"				"MSPP"	"DISP"		95029								-71.920631000000	19.434884000000		"2005 MSPP database with geocodes"
59	4	4	41	"NORD EST"	"VALLIERE"	441	5	4410059	"DISPENSAIRE DE GROSSE ROCHE"				"MSPP"	"DISP"		95030								-71.995801000000	19.477969000000		"2005 MSPP database with geocodes"
60	4	4	42	"NORD EST"	"CARICE"	442	1	4420060	"DISPENSAIRE DE CARICE"				"MSPP"	"DISP"		95031								-71.830688000000	19.377804000000		"2005 MSPP database with geocodes"
61	4	4	42	"NORD EST"	"CARICE"	442	5	4420061	"CARICE STE - HELENE"				"EGLISE CATHOLIQUE"	"Other"		95032								-71.835635000000	19.377745000000		"2005 MSPP database with geocodes"
62	4	4	43	"NORD EST"	"MOMBIN CROCHU"	443	1	4430062	"DISPENSAIRE DE BOIS DE LAURENCE"				"MSPP"	"DISP"		95033								-71.862986000000	19.328753000000		"2005 MSPP database with geocodes"
63	4	4	43	"NORD EST"	"MOMBIN CROCHU"	443	2	4430063	"CENTRE DE SANTE DE MOMBIN CROCHU"				"MSPP"	"C/S"		95034								-71.982289000000	19.369569000000		"2005 MSPP database with geocodes"
64	5	7	32	"ARTIBONITE"	"VERRETTES"	532	14	5320064	"DP DE GABRIEL"				"HAS"	"DISP"		95035								-72.461135000000	18.972191000000		"2005 MSPP database with geocodes"
65	5	7	32	"ARTIBONITE"	"VERRETTES"	532	0	5329004	"DP DE TERRE NETTE"				"HAS"	"DISP"		95036								-72.550170000000	19.006887000000		"2005 MSPP database with geocodes"
66	5	7	42	"ARTIBONITE"	"PETITE RIVIERE DE L'ARTIBONITE"	542	0	5429002	"DP DE MOORNE DROUET"				"Inter Aid"	"DISP"		95037								-72.435336000000	19.108774000000		"2005 MSPP database with geocodes"
67	5	7	32	"ARTIBONITE"	"VERRETTES"	532	7	5320067	"DP DE BASTIEN"					"DISP"		95038								-72.502938000000	19.046027000000		"2005 MSPP database with geocodes"
68	5	7	42	"ARTIBONITE"	"PETITE RIVIERE DE L'ARTIBONITE"	542	12	5420068	"DP DE PLASSAC"				"HAS"	"DISP"		95039								-72.402652000000	19.071905000000		"2005 MSPP database with geocodes"
69	5	7	42	"ARTIBONITE"	"PETITE RIVIERE DE L'ARTIBONITE"	542	0	5429001	"DP DE MEDOR"				"Inter Aid"	"DISP"		95040								-72.315994000000	19.037398000000		"2005 MSPP database with geocodes"
70	5	7	42	"ARTIBONITE"	"PETITE RIVIERE DE L'ARTIBONITE"	542	5	5420070	"DP DE DESLANDES"				"HAS"	"DISP"		95041								-72.308367000000	18.949626000000		"2005 MSPP database with geocodes"
71	5	7	42	"ARTIBONITE"	"PETITE RIVIERE DE L'ARTIBONITE"	542	6	5420071	"DP DE MAUGE PLICHE"					"DISP"		95042								-72.557920000000	19.161503000000		"2005 MSPP database with geocodes"
72	5	7	42	"ARTIBONITE"	"PETITE RIVIERE DE L'ARTIBONITE"	542	10	5420072	"DP DE PERODIN"					"DISP"		95043								-72.303965000000	19.107753000000		"2005 MSPP database with geocodes"
73	5	6	31	"ARTIBONITE"	"SAINT-MARC"	531	10	5310073	"DP DE GOYAVIER"					"DISP"		95044								-72.632558000000	19.044394000000		"2005 MSPP database with geocodes"
74	5	6	31	"ARTIBONITE"	"SAINT-MARC"	531	20	5310074	"DP DE BARBE"				"MSPP"	"DISP"		95045								-72.664161000000	19.096178000000		"2005 MSPP database with geocodes"
75	5	6	31	"ARTIBONITE"	"SAINT-MARC"	531	0	5319001	"CENTRE DE SANTE LANZAC"					"C/S"		95046								-72.721266000000	18.978150000000		"2005 MSPP database with geocodes"
76	5	6	31	"ARTIBONITE"	"SAINT-MARC"	531	18	5310076	"DP DE GILBERT"					"DISP"		95047								-72.586891000000	19.102389000000		"2005 MSPP database with geocodes"
77	5	6	31	"ARTIBONITE"	"SAINT-MARC"	531	0	5319004	"DP DE GRANDE SALINE"					"DISP"		95048								-72.772287000000	19.241942000000		"2005 MSPP database with geocodes"
78	5	6	31	"ARTIBONITE"	"SAINT-MARC"	531	19	5310078	"DP DE TERRE BALNCHE"				"MSPP"	"DISP"		95049								-72.679680000000	19.071311000000		"2005 MSPP database with geocodes"
79	3	5	52	"NORD"	"PORT MARGOT"	352	6	3520079	"CENTRE DE SANTE DE PORT-MARGOT"				"MSPP/ICC"	"C/S"		95050								-72.429289000000	19.751174000000		"2005 MSPP database with geocodes"
80	3	5	52	"NORD"	"PORT MARGOT"	352	12	3520080	"CENTRE DE SANTE SAINT MALACHY"				"EGLISE CATHOLIQUE"	"C/S"		95051								-72.428401000000	19.750620000000		"2005 MSPP database with geocodes"
81	3	5	52	"NORD"	"PORT MARGOT"	352	7	3520081	"DISPENSAIRE DE PETIT BOURG DE PORT-MARGOT"				"MSPP/ICC"	"DISP"		95052								-72.453254000000	19.721284000000		"2005 MSPP database with geocodes"
82	3	5	52	"NORD"	"PORT MARGOT"	352	0	3529001	"CLINIQUE SAINT BERTIN"				"REV. PERE"	"C/S"		95053								-72.453899000000	19.722106000000		"2005 MSPP database with geocodes"
83	3	5	52	"NORD"	"PORT MARGOT"	352	10	3520083	"CENTRE DE SANTE DE BAYEUX"				"DR.. BIBIA"	"C/S"		95054								-72.433495000000	19.808285000000		"2005 MSPP database with geocodes"
84	3	3	21	"NORD"	"ACUL DU NORD"	321	0	3219002	"DISPENSAIRE COMMUNAUTAIRE DE DITY"					"DISP"		95055								-72.319315000000	19.683268000000		"2005 MSPP database with geocodes"
85	3	3	21	"NORD"	"ACUL DU NORD"	321	15	3210085	"DISPENSAIRE LA BRUYERE"					"DISP"		95056								-72.307823000000	19.639051000000		"2005 MSPP database with geocodes"
86	3	3	21	"NORD"	"ACUL DU NORD"	321	11	3210086	"DISPENSAIRE LA DELIVRANCE"					"DISP"		95057								-72.289645000000	19.616620000000		"2005 MSPP database with geocodes"
87	3	3	21	"NORD"	"ACUL DU NORD"	321	3	3210087	"DISPENSAIRE DE TOVAR"				"EGLISE METHODISTE"	"DISP"		95058								-72.288115000000	19.624877000000		"2005 MSPP database with geocodes"
88	3	3	21	"NORD"	"ACUL DU NORD"	321	0	3219001	"CENTRE MEDICAL DE SECOURS CHRETIEN"					"C/S"		95059								-72.326614000000	19.705282000000		"2005 MSPP database with geocodes"
89	3	3	21	"NORD"	"ACUL DU NORD"	321	10	3210089	"DISPENSAIRE DE CAMP LOUISE"				"MSPP"	"DISP"		95060								-72.347921000000	19.747558000000		"2005 MSPP database with geocodes"
90	3	6	61	"NORD"	"LIMBE"	361	8	3610090	"DISPENSAIRE DE CAMP COQ"				"MSPP"	"DISP"		95061								-72.425840000000	19.633546000000		"2005 MSPP database with geocodes"
91	3	6	61	"NORD"	"LIMBE"	361	11	3610091	"DISPENSAIRE HAUT LIMBE"					"DISP"		95062								-72.356567000000	19.699107000000		"2005 MSPP database with geocodes"
92	3	7	71	"NORD"	"PLAISANCE"	371	5	3710092	"DISPENSAIRE ST HENRY ROSE THOMAS"				"EGLISE CATHOLIQUE"	"DISP"		95063								-72.472919000000	19.539053000000		"2005 MSPP database with geocodes"
93	3	7	71	"NORD"	"PLAISANCE"	371	4	3710093	"DISPENSAIRE LA TROUBLE"				"ICC(INTERN"	"DISP"		95064								-72.441769000000	19.567023000000		"2005 MSPP database with geocodes"
94	3	7	71	"NORD"	"PLAISANCE"	371	3	3710094	"DISPENSAIRE DE GOBERT"					"DISP"		95065								-72.506253000000	19.629631000000		"2005 MSPP database with geocodes"
95	3	5	52	"NORD"	"PORT MARGOT"	352	0	3529002	"DISPENSAIRE LA FONDATION NOVION"					"DISP"		95066								-72.461214000000	19.814750000000		"2005 MSPP database with geocodes"
96	3	4	41	"NORD"	"ST. RAPHAEL"	341	9	3410096	"DISPENSAIRE ST JOSEPH"				"SOEURS DE ST JOSEPH"	"DISP"		95067								-72.200492000000	19.436387000000		"2005 MSPP database with geocodes"
97	3	2	23	"NORD"	"MILOT"	323	10	3230097	"DISPENSAIRE DE THILBAULT"				"SOEURS DE"	"DISP"		95068								-72.227267000000	19.633023000000		"2005 MSPP database with geocodes"
98	3	2	23	"NORD"	"MILOT"	323	8	3230098	"DISPENSAIRE CARREFOUR DES PERES"				"MSPP"	"DISP"		95069								-72.205570000000	19.684647000000		"2005 MSPP database with geocodes"
99	3	2	23	"NORD"	"MILOT"	323	14	3230099	"CENTRE DE SANTE LA PROVIDENCE DE LORY"				"GERER PAR LA COMMUNAUTE"	"C/S"		95070								-72.226939000000	19.716859000000		"2005 MSPP database with geocodes"
100	3	3	22	"NORD"	"PLAINE DU NORD"	322	6	3220100	"DISPENSAIRE ZO MEDA DE MORNE ROUGE"				"MSPP"	"DISP"		95071								-72.266041000000	19.710544000000		"2005 MSPP database with geocodes"
101	3	3	22	"NORD"	"PLAINE DU NORD"	322	7	3220101	"DISPENSAIRE DE ROBILLARD"				"MSPP"	"DISP"		95072								-72.258589000000	19.616204000000		"2005 MSPP database with geocodes"
102	3	3	22	"NORD"	"PLAINE DU NORD"	322	12	3220102	"CENTRE DE SANTE ST FRANCOIS DE SALES"					"C/S"		95073								-72.252597000000	19.718419000000		"2005 MSPP database with geocodes"
103	3	3	22	"NORD"	"PLAINE DU NORD"	322	4	3220103	"DISPENSAIRE CATHOLIQUE DE BALAN"				"EGLISE CAT"	"DISP"		95074								-72.298023000000	19.726722000000		"2005 MSPP database with geocodes"
104	3	3	22	"NORD"	"PLAINE DU NORD"	322	0	3229001	"CENTRE MEDICO SOCIAL"					"C/S"		95075								-72.270189000000	19.676839000000		"2005 MSPP database with geocodes"
105	3	3	22	"NORD"	"PLAINE DU NORD"	322	14	3220105	"CLINIQUE MEDICO-CHIRURGICALE DUGUE"				"DR. DUGUE"	"C/S"		95076								-72.278225000000	19.707235000000		"2005 MSPP database with geocodes"
106	3	3	22	"NORD"	"PLAINE DU NORD"	322	16	3220106	"CENTRE DE SANTE JEHOVAH JIREH"					"C/S"		95077								-72.270910000000	19.677599000000		"2005 MSPP database with geocodes"
107	3	3	22	"NORD"	"PLAINE DU NORD"	322	9	3220107	"CENTRE MEDICAL BETHESDA DE VAUDREUIL"					"C/S"		95078								-72.251856000000	19.719952000000		"2005 MSPP database with geocodes"
108	3	4	44	"NORD"	"PIGNON"	344	6	3440108	"DISPENSAIRE ST JOSEPH"				"EGLISE CATHOLIQUE"	"DISP"		95079								-72.114158000000	19.336228000000		"2005 MSPP database with geocodes"
109	3	4	45	"NORD"	"LA VICTOIRE"	345	3	3450109	"CENTRE DE SANTE LA VICTOIRE"				"CBP"	"C/S"		95080								-72.023904000000	19.338179000000		"2005 MSPP database with geocodes"
110	3	6	62	"NORD"	"BAS LIMBE"	362	4	3620110	"CENTRE DE SANTE DE BAS- LIMBE"				"MSPP/ICC"	"C/S"		95081								-72.379573000000	19.780242000000		"2005 MSPP database with geocodes"
111	3	5	51	"NORD"	"BORGNE"	351	7	3510111	"DISPENSAIRE DE PETIT BOURG DE BORGNE"					"DISP"		95082								-72.571870000000	19.812163000000		"2005 MSPP database with geocodes"
112	3	4	42	"NORD"	"DONDON"	342	4	3420112	"CENTRE DE SANTE DE DONDON"				"CBP(COMITE BIENFAISANCE DE PIGNON)"	"C/S"		95083								-72.244629000000	19.526685000000		"2005 MSPP database with geocodes"
113	3	4	42	"NORD"	"DONDON"	342	8	3420113	"DISPENSAIRE ST JOSEPH"				"SOEURS ST JOSEPH DE ST VALLIER"	"DISP"		95084								-72.241752000000	19.526190000000		"2005 MSPP database with geocodes"
114	3	1	11	"NORD"	"CAP HAITIEN"	311	0	3119005	"CENTRE DE SANTE DE CHAMSOLME"				"MSPP"	"Unknown"		95085								-72.205744000000	19.753620000000		"2005 MSPP database with geocodes"
115	3	1	11	"NORD"	"CAP HAITIEN"	311	3	3110115	"CENTRE DE SANTE DU FORT ST MICHEL"					"CSL"	"PUB"	31102								-72.194176000000	19.741115000000		"2005 MSPP database with geocodes"
116	3	2	31	"NORD"	"GRANDE RIVIERE DU NORD"	331	7	3310116	"CLINIQUE METHODISTE LATANNERIE"				"EGLISE METHODISTE"	"C/S"		95086								-72.172814000000	19.611482000000		"2005 MSPP database with geocodes"
117	3	2	12	"NORD"	"QUARTIER MORIN"	312	16	3120117	"DISPENSAIRE DE GRAND PRE"					"DISP"		95087								-72.185256000000	19.622511000000		"2005 MSPP database with geocodes"
118	3	5	51	"NORD"	"BORGNE"	351	9	3510118	"HOPE(CORPUS CHRISTI)"				"EGLISE CATHOLIQUE"	"Other"		95088								-72.522809000000	19.846463000000		"2005 MSPP database with geocodes"
119	3	2	32	"NORD"	"BAHON"	332	3	3320119	"DISPENSAIRE DE BAHON"				"MSPP"	"DISP"		95089								-72.114234000000	19.469415000000		"2005 MSPP database with geocodes"
120	3	1	11	"NORD"	"CAP HAITIEN"	311	11	3110120	"CENTRE FOSREF"				"FOSREF"	"Other"	"PRI"	31110								-72.202802000000	19.761004000000		"2005 MSPP database with geocodes"
121	3	1	11	"NORD"	"CAP HAITIEN"	311	6	3110121	"DISPENSAIRE DE SACRE-COEUR"					"DISP"	"MIX"	31105								-72.205102000000	19.754856000000		"2005 MSPP database with geocodes"
122	3	1	11	"NORD"	"CAP HAITIEN"	311	10	3110122	"CEMAD CENTRE MEDICAL AIDE DIVINE"					"Unknown"		95090								-72.183376000000	19.732738000000		"2005 MSPP database with geocodes"
123	3	1	11	"NORD"	"CAP HAITIEN"	311	12	3110123	"DISPENSAIRE CARITAS"				"CARITAS"	"Other"	"MIX"	31111								-72.204899000000	19.755024000000		"2005 MSPP database with geocodes"
124	3	1	11	"NORD"	"CAP HAITIEN"	311	9	3110124	"CENTRE DE SANTE MADELINE"					"CSL"	"MIX"	31108								-72.181813000000	19.725130000000		"2005 MSPP database with geocodes"
125	3	1	11	"NORD"	"CAP HAITIEN"	311	4	3110125	"CENTRE DISPENSAIRE NOTRE DAME DE LOURDES CARENAGE"					"DISP"	"MIX"	31103								-72.197363000000	19.764973000000		"2005 MSPP database with geocodes"
